#;TIPO;"COD. PROYECTO";PROYECTO;"CODIGO OS";CIRCUITO;"CIRCUITO PADRE";"FECHA ALTA OPERATIVA";"FECHA ALTA REAL";CLIENTE;SECTOR;"TIPO SERVICIO";TIEMPO;"DIAS SUSPENSION";TRABAJOS;"FECHA TRABAJO";"FECHA EJECUCION REAL";ASESOR;"ASESOR NOMBRES";ESTADO;"FECHA REG.";"FECHA APROB. EXCEP.";"FECHA POR APROB.";"FECHA APROB.";"TRIMESTRE REGISTRO";"TRIMESTRE APROBACION";MONEDA;"MONTO MRC";"MONTO NRC";"SUB GERENTE";RUC;"CIR. PRECIO EQUIPO";"CIR. PRECIO RENTA";"CIR. MONEDA"
1;OS;51695;SI;331734;195833;;20/03/2024;20/03/2024;"ARAMBURU MATRIZ S.A.C.";PRI;Laas;"24 MESES";;"Nuevo servicio";;;agarciap;;Exceptuado;16/01/2024;16/01/2024;"16/01/2024 13:08";;"2024 - Q1";"2024 - Q1";DOLARES;;;ecordano;20523939140;0.00;0.00;$
2;OT;;NO;331814;51640;;;;"HIAS PERU";PRI;"Seguridad Cloud";;;Renovacion;16/01/2024;;mdelgado_pventas;;Exceptuado;16/01/2024;17/01/2024;"17/01/2024 10:38";;"2024 - Q1";"2024 - Q1";SOLES;;;ecordano;20605419616;0.00;214.00;S/
3;OT;;NO;331815;51641;;;;"HIAS PERU";PRI;"Seguridad Cloud";;;Renovacion;16/01/2024;;mdelgado_pventas;;Exceptuado;16/01/2024;17/01/2024;"17/01/2024 10:38";;"2024 - Q1";"2024 - Q1";SOLES;;;ecordano;20605419616;0.00;230.00;S/
4;OT;;NO;331816;51642;;;;"HIAS PERU";PRI;"Internet Seguro Avanzado (Cloud)";;;Renovacion;16/01/2024;;mdelgado_pventas;;Exceptuado;16/01/2024;17/01/2024;"17/01/2024 10:38";;"2024 - Q1";"2024 - Q1";SOLES;;;ecordano;20605419616;0.00;750.00;S/
5;OT;;NO;331817;51643;;;;"HIAS PERU";PRI;"Internet Seguro Avanzado (Cloud)";;;Renovacion;16/01/2024;;mdelgado_pventas;;Exceptuado;16/01/2024;17/01/2024;"17/01/2024 10:37";;"2024 - Q1";"2024 - Q1";SOLES;;;ecordano;20605419616;0.00;872.00;S/
6;OT;;NO;334362;67961;;;;"CONSEJO DEPARTAMENTAL DE LIMA - CIP";PRI;"Seguridad Cloud DC";;;Renovacion;30/01/2024;;asolari_pventas;;Exceptuado;30/01/2024;09/02/2024;"09/02/2024 10:11";;"2024 - Q1";"2024 - Q1";DOLARES;;;rrocha;20173173181;0.00;0.00;$
7;OT;;NO;334363;52064;;;;"CONSEJO DEPARTAMENTAL DE LIMA - CIP";PRI;"Central Virtual On Demand";;;"Renovacion anticipada";30/01/2024;;asolari_pventas;;Exceptuado;30/01/2024;09/02/2024;"09/02/2024 10:10";;"2024 - Q1";"2024 - Q1";SOLES;;;rrocha;20173173181;0.00;2200.00;S/
8;OT;;NO;334364;67966;;;;"CONSEJO DEPARTAMENTAL DE LIMA - CIP";PRI;"Internet Seguro Avanzado DC";;;Renovacion;30/01/2024;;asolari_pventas;;Exceptuado;30/01/2024;09/02/2024;"09/02/2024 10:10";;"2024 - Q1";"2024 - Q1";DOLARES;;;rrocha;20173173181;0.00;30.00;$
9;OT;;NO;334653;4896;;;;"INDUSTRIAL COMERCIAL HOLGUIN E HIJOS S.A.";PRI;"Sip Trunk - VLAN";;;Renovacion;31/01/2024;;asolari_pventas;;Exceptuado;31/01/2024;05/02/2024;"05/02/2024 16:11";;"2024 - Q1";"2024 - Q1";SOLES;;;rrocha;20132515680;0.00;0.00;S/
10;OT;;NO;334654;6492;;;;"INDUSTRIAL COMERCIAL HOLGUIN E HIJOS S.A.";PRI;"Internet Dedicado";;;"Renovacion anticipada";31/01/2024;;asolari_pventas;;Exceptuado;31/01/2024;02/02/2024;"02/02/2024 15:29";;"2024 - Q1";"2024 - Q1";DOLARES;;;rrocha;20132515680;0.00;440.00;$
11;OT;;NO;334683;73266;;;;"CONTUGAS S.A.C.";PRI;L2L;;;Renovacion;02/02/2024;;mdelgado_pventas;;Exceptuado;31/01/2024;01/02/2024;"01/02/2024 14:59";;"2024 - Q1";"2024 - Q1";SOLES;;;ecordano;20519485487;0.00;412.00;S/
12;OT;;NO;334685;73267;;;;"CONTUGAS S.A.C.";PRI;L2L;;;Renovacion;02/02/2024;;mdelgado_pventas;;Exceptuado;31/01/2024;01/02/2024;"01/02/2024 14:58";;"2024 - Q1";"2024 - Q1";SOLES;;;ecordano;20519485487;0.00;618.00;S/
13;OS;52210;SI;334908;198001;;28/03/2024;16/04/2024;"CINCO MILLAS SAC";PRI;"Central Virtual On Demand";"24 MESES";;"Nuevo servicio";;;rpuga;;Exceptuado;02/02/2024;02/02/2024;"02/02/2024 11:08";;"2024 - Q1";"2024 - Q1";SOLES;;;kesquerre;20509076945;0.00;111.00;S/
